id,block,score,type
0,url,https://www.c4isrnet.com/smr/cybercon/2017/11/27/could-an-air-conditioner-take-down-a-military-base-the-pentagon-is-worried/,
1,"('AI & ML      Unmanned      Battlefield Tech      Space      Electronic Warfare      Cyber      Industry      Opinion', ['html', 'body', 'div', 'div', 'header', 'nav', 'div', 'nav'], ['layout-section', 't-base', 'sticky-nav-wrapper;t-base__header', 'default__StyledNav-sc-1uwf6hf-0;dpMCRT;dark', 'news-theme-navigation-container;news-theme-navigation-bar;logo-left;horizontal-links', 'default__ReadableTextNavigationBar-sc-1xpfxat-0;dIpPsM;horizontal-links-bar'])",0,
2,"('AI & ML', ['html', 'body', 'div', 'div', 'header', 'nav', 'div', 'div', 'ul', 'li'], ['layout-section', 't-base', 'sticky-nav-wrapper;t-base__header', 'default__StyledNav-sc-1uwf6hf-0;dpMCRT;dark', 'default__StyledSectionDrawer-sc-1uwf6hf-1;bKzKcN;nav-sections;closed', 'inner-drawer-nav', 'section-nav__StyledSectionMenuVariableHeight-sc-6vfz06-0;kwtFjA;section-menu', 'section-item'])",0,
3,"('Unmanned', ['html', 'body', 'div', 'div', 'header', 'nav', 'div', 'div', 'ul', 'li', 'div'], ['layout-section', 't-base', 'sticky-nav-wrapper;t-base__header', 'default__StyledNav-sc-1uwf6hf-0;dpMCRT;dark', 'default__StyledSectionDrawer-sc-1uwf6hf-1;bKzKcN;nav-sections;closed', 'inner-drawer-nav', 'section-nav__StyledSectionMenuVariableHeight-sc-6vfz06-0;kwtFjA;section-menu', 'section-item', 'subsection-anchor'])",0,
4,"('Robotics', ['html', 'body', 'div', 'div', 'header', 'nav', 'div', 'div', 'ul', 'li', 'div', 'ul', 'li'], ['layout-section', 't-base', 'sticky-nav-wrapper;t-base__header', 'default__StyledNav-sc-1uwf6hf-0;dpMCRT;dark', 'default__StyledSectionDrawer-sc-1uwf6hf-1;bKzKcN;nav-sections;closed', 'inner-drawer-nav', 'section-nav__StyledSectionMenuVariableHeight-sc-6vfz06-0;kwtFjA;section-menu', 'section-item', 'subsection-container', 'subsection-menu', 'subsection-item'])",0,
5,"('Battlefield Tech', ['html', 'body', 'div', 'div', 'header', 'nav', 'div', 'div', 'ul', 'li', 'div'], ['layout-section', 't-base', 'sticky-nav-wrapper;t-base__header', 'default__StyledNav-sc-1uwf6hf-0;dpMCRT;dark', 'default__StyledSectionDrawer-sc-1uwf6hf-1;bKzKcN;nav-sections;closed', 'inner-drawer-nav', 'section-nav__StyledSectionMenuVariableHeight-sc-6vfz06-0;kwtFjA;section-menu', 'section-item', 'subsection-anchor'])",0,
6,"('Hypersonics\nJADC2 & Comms\nIT/Networks\nSpace', ['html', 'body', 'div', 'div', 'header', 'nav', 'div', 'div', 'ul', 'li', 'div', 'ul', 'li'], ['layout-section', 't-base', 'sticky-nav-wrapper;t-base__header', 'default__StyledNav-sc-1uwf6hf-0;dpMCRT;dark', 'default__StyledSectionDrawer-sc-1uwf6hf-1;bKzKcN;nav-sections;closed', 'inner-drawer-nav', 'section-nav__StyledSectionMenuVariableHeight-sc-6vfz06-0;kwtFjA;section-menu', 'section-item', 'subsection-container', 'subsection-menu', 'subsection-item'])",0,
7,"('Information Warfare\nElectronic Warfare\nCyber', ['html', 'body', 'div', 'div', 'header', 'nav', 'div', 'div', 'ul', 'li'], ['layout-section', 't-base', 'sticky-nav-wrapper;t-base__header', 'default__StyledNav-sc-1uwf6hf-0;dpMCRT;dark', 'default__StyledSectionDrawer-sc-1uwf6hf-1;bKzKcN;nav-sections;closed', 'inner-drawer-nav', 'section-nav__StyledSectionMenuVariableHeight-sc-6vfz06-0;kwtFjA;section-menu', 'section-item'])",0,
8,"('Industry', ['html', 'body', 'div', 'div', 'header', 'nav', 'div', 'div', 'ul', 'li', 'div'], ['layout-section', 't-base', 'sticky-nav-wrapper;t-base__header', 'default__StyledNav-sc-1uwf6hf-0;dpMCRT;dark', 'default__StyledSectionDrawer-sc-1uwf6hf-1;bKzKcN;nav-sections;closed', 'inner-drawer-nav', 'section-nav__StyledSectionMenuVariableHeight-sc-6vfz06-0;kwtFjA;section-menu', 'section-item', 'subsection-anchor'])",0,
9,"('3D Printing', ['html', 'body', 'div', 'div', 'header', 'nav', 'div', 'div', 'ul', 'li', 'div', 'ul', 'li'], ['layout-section', 't-base', 'sticky-nav-wrapper;t-base__header', 'default__StyledNav-sc-1uwf6hf-0;dpMCRT;dark', 'default__StyledSectionDrawer-sc-1uwf6hf-1;bKzKcN;nav-sections;closed', 'inner-drawer-nav', 'section-nav__StyledSectionMenuVariableHeight-sc-6vfz06-0;kwtFjA;section-menu', 'section-item', 'subsection-container', 'subsection-menu', 'subsection-item'])",0,
