,0,1,2
0,url,https://www.cae.com/healthcare/products/,
1,"('COVID-19', ['html', 'body', 'div', 'div', 'div', 'header', 'div'], ['no-js', 'blur', 'takeover-banner', 'takeover-banner__wrapper', 'takeover-banner__header', 'takeover-banner__title'])",0,
2,"('See the latest information on how CAE is responding to the COVID-19 pandemic.', ['html', 'body', 'div', 'div', 'div', 'div', 'p', 'p'], ['no-js', 'blur', 'takeover-banner', 'takeover-banner__wrapper', 'takeover-banner__body', 'takeover-banner__text'])",0,
3,"('CAE activities in response to COVID-19', ['html', 'body', 'div', 'div', 'div', 'div'], ['no-js', 'blur', 'takeover-banner', 'takeover-banner__wrapper', 'takeover-banner__flex-wrapper'])",0,
4,"('About CAE\nCivil Aviation\nDefense & Security', ['html', 'body', 'div', 'nav', 'div', 'ul', 'li'], ['no-js', 'blur', 'top-nav;civil', 'left-nav', 'nav-list-bu'])",0,
5,"('Healthcare', ['html', 'body', 'div', 'nav', 'div', 'ul', 'li'], ['no-js', 'blur', 'top-nav;civil', 'left-nav', 'nav-list-bu', 'active'])",0,
6,"('Support', ['html', 'body', 'div', 'nav', 'div', 'ul', 'li'], ['no-js', 'blur', 'top-nav;civil', 'right-nav', 'nav-tools', 'login'])",0,
7,"('Civil Aviation', ['html', 'body', 'div', 'nav', 'div', 'ul', 'li', 'div', 'div', 'div', 'ul', 'li', 'div'], ['no-js', 'blur', 'top-nav;civil', 'right-nav', 'nav-tools', 'login', 'top-nav-link;dropdownLogin', 'dropdownLogin;single;tooltip', 'quickLinks', 'showcase;first'])",0,
8,"('RB Logbook\nRosterBuster\nAviation Jobs\nPelesys Administrator\nContact us', ['html', 'body', 'div', 'nav', 'div', 'ul', 'li', 'div', 'div', 'div', 'ul', 'li'], ['no-js', 'blur', 'top-nav;civil', 'right-nav', 'nav-tools', 'login', 'top-nav-link;dropdownLogin', 'dropdownLogin;single;tooltip', 'quickLinks'])",0,
9,"('Defense & Security', ['html', 'body', 'div', 'nav', 'div', 'ul', 'li', 'div', 'div', 'div', 'ul', 'li', 'div'], ['no-js', 'blur', 'top-nav;civil', 'right-nav', 'nav-tools', 'login', 'top-nav-link;dropdownLogin', 'dropdownLogin;single;tooltip', 'quickLinks', 'showcase'])",0,
