,0,1,2
0,url,https://www.kbr.com/en,
1,"('Skip to main content', ['html', 'body', 'div', 'div'], ['page-type-landing-page;homepage', 'dialog-off-canvas-main-canvas', 'skip-to-content'])",0,
2,"('Who We Are\nWhat We Do\nCareers\nInsights & News\nInvestor Relations', ['html', 'body', 'div', 'header', 'section', 'div', 'div', 'div', 'div', 'ul', 'li'], ['page-type-landing-page;homepage', 'dialog-off-canvas-main-canvas', 'header__logo-menu', 'container', 'row;align-items-center', 'col-10', 'header__logo-menu__menu', 'main-navigation'])",0,
3,"('Delivering Solutions, Changing the World   ®', ['html', 'body', 'div', 'header', 'div', 'div', 'div', 'div', 'div', 'div', 'div', 'div', 'h1'], ['page-type-landing-page;homepage', 'dialog-off-canvas-main-canvas', 'header__banner;header__banner-homepage', 'header__banner-content-wrap', 'header__banner-content', 'container', 'row', 'col-6', 'header__banner-content-left', 'wysiwyg-text'])",100,t
4,"('We deliver science, technology and engineering solutions to governments and companies around the world.', ['html', 'body', 'div', 'header', 'div', 'div', 'div', 'div', 'div', 'div', 'div', 'div', 'p'], ['page-type-landing-page;homepage', 'dialog-off-canvas-main-canvas', 'header__banner;header__banner-homepage', 'header__banner-content-wrap', 'header__banner-content', 'container', 'row', 'col-6', 'header__banner-content-right', 'wysiwyg-text'])",100,m
5,"('Who We Are', ['html', 'body', 'div', 'div', 'div', 'article', 'div', 'nav', 'ul', 'li'], ['page-type-landing-page;homepage', 'dialog-off-canvas-main-canvas', 'right-nav', 'right-nav__targets', 'right-nav__panel', 'right-nav__panel__primary-menu-container', 'main-navigation'])",0,
6,"('Our Company', ['html', 'body', 'div', 'div', 'div', 'article', 'div', 'nav', 'ul', 'li', 'ul', 'li'], ['page-type-landing-page;homepage', 'dialog-off-canvas-main-canvas', 'right-nav', 'right-nav__targets', 'right-nav__panel', 'right-nav__panel__primary-menu-container', 'main-navigation'])",0,
7,"('Our History\nCode of Business Conduct\nCorporate Governance', ['html', 'body', 'div', 'div', 'div', 'article', 'div', 'nav', 'ul', 'li', 'ul', 'li', 'ul', 'li'], ['page-type-landing-page;homepage', 'dialog-off-canvas-main-canvas', 'right-nav', 'right-nav__targets', 'right-nav__panel', 'right-nav__panel__primary-menu-container', 'main-navigation'])",0,
8,"('Our People', ['html', 'body', 'div', 'div', 'div', 'article', 'div', 'nav', 'ul', 'li', 'ul', 'li'], ['page-type-landing-page;homepage', 'dialog-off-canvas-main-canvas', 'right-nav', 'right-nav__targets', 'right-nav__panel', 'right-nav__panel__primary-menu-container', 'main-navigation'])",0,
9,"('Employee Resource Groups\nInclusion and Diversity\nTechnical Fellows', ['html', 'body', 'div', 'div', 'div', 'article', 'div', 'nav', 'ul', 'li', 'ul', 'li', 'ul', 'li'], ['page-type-landing-page;homepage', 'dialog-off-canvas-main-canvas', 'right-nav', 'right-nav__targets', 'right-nav__panel', 'right-nav__panel__primary-menu-container', 'main-navigation'])",0,
